"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
oid_1_1_2_5_1_16;icd10symptomrating;;dropdown;"16. Viele meiner Gedanken kreisen um das Essen, und ich habe ständig Angst, Gewicht zuzunehmen.";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_1_17;icd10symptomrating;;dropdown;"17. Ich beschäftige mich viel damit, wie ich Gewicht abnehmen kann.";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_1_18;icd10symptomrating;;dropdown;"18. Ich habe Schwierigkeiten, mich zu konzentrieren.";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_1_19;icd10symptomrating;;dropdown;"19. Ich denke darüber nach, mich umzubringen.";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_1_20;icd10symptomrating;;dropdown;"20. Ich habe Schlafprobleme.";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_1_21;icd10symptomrating;;dropdown;"21. Ich habe einen schlechten Appetit.";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_1_22;icd10symptomrating;;dropdown;"22. Ich bin vergesslich.";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_1_23;icd10symptomrating;;dropdown;"23. Ich leide unter immer wiederkehrenden Träumen oder Erinnerungen an schreckliche Erlebnisse.";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_1_24;icd10symptomrating;;dropdown;"24. Ich habe psychische Probleme aufgrund schwerer Alltagsbelastungen (z.B. schwere Erkrankung, Verlust der Arbeit oder Trennung vom Partner).";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_1_25;icd10symptomrating;;dropdown;"25. Meine Gefühle und Erfahrungen empfinde ich auf einmal nicht mehr als meine eigenen.";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_1_26;icd10symptomrating;;dropdown;"26. Die Menschen und meine Umgebung erscheinen mir auf einmal unwirklich, fern, leblos.";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_1_27;icd10symptomrating;;dropdown;"27. Ich fühle mich in der Ausübung meiner Sexualität beeinträchtigt.";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_1_28;icd10symptomrating;;dropdown;"28. Ich habe mich in den letzten Jahren nach einer extremen Belastung (z.B. Schädel-Hirnverletzung, Kriegserlebnisse oder Missbrauch) dauerhaft verändert.";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_1_29;icd10symptomrating;;dropdown;"29. Meine sexuellen Vorlieben sind eine Belastung für mich.";"0, trifft nicht zu | 1, trifft kaum zu | 2, trifft ziemlich zu | 3, trifft deutlich zu | 4, trifft extrem zu";;;;;;;y;;;;;
oid_1_1_2_5_2_1;icd10symptomrating;;calc;Depression;"sum([oid_1_1_2_5_1_1]
,[oid_1_1_2_5_1_2]
,[oid_1_1_2_5_1_3]
,[oid_1_1_2_5_1_4]
)/4";"Algorithmus zur Berechnung des Depression Scores";;;;;;;;;;;
oid_1_1_2_5_2_2;icd10symptomrating;;calc;Angst;"sum([oid_1_1_2_5_1_5]
,[oid_1_1_2_5_1_6]
,[oid_1_1_2_5_1_7]
,[oid_1_1_2_5_1_8]
)/4";"Algorithmus zur Berechnung des Angst Scores";;;;;;;;;;;
oid_1_1_2_5_2_3;icd10symptomrating;;calc;Zwang;"sum([oid_1_1_2_5_1_9]
,[oid_1_1_2_5_1_10]
,[oid_1_1_2_5_1_11]
)/3";"Algorithmus zur Berechnung des Zwang Scores";;;;;;;;;;;
oid_1_1_2_5_2_4;icd10symptomrating;;calc;Somatisierung;"sum([oid_1_1_2_5_1_12]
,[oid_1_1_2_5_1_13]
,[oid_1_1_2_5_1_14]
)/3";"Algorithmus zur Berechnung des Somatisierung Scores";;;;;;;;;;;
oid_1_1_2_5_2_5;icd10symptomrating;;calc;Essstörung;"sum([oid_1_1_2_5_1_15]
,[oid_1_1_2_5_1_16]
,[oid_1_1_2_5_1_17]
)/3";"Algorithmus zur Berechnung des Essstörung Scores";;;;;;;;;;;
oid_1_1_2_5_2_6;icd10symptomrating;;calc;Zusatzskala;"sum([oid_1_1_2_5_1_18]
,[oid_1_1_2_5_1_19]
,[oid_1_1_2_5_1_20]
,[oid_1_1_2_5_1_21]
,[oid_1_1_2_5_1_22]
,[oid_1_1_2_5_1_23]
,[oid_1_1_2_5_1_24]
,[oid_1_1_2_5_1_25]
,[oid_1_1_2_5_1_26]
,[oid_1_1_2_5_1_27]
,[oid_1_1_2_5_1_28]
,[oid_1_1_2_5_1_29]
)/12";"Algorithmus zur Berechnung des Zusatzskala Scores";;;;;;;;;;;
oid_1_1_2_5_2_7;icd10symptomrating;;calc;ISR;"sum(
(sum([oid_1_1_2_5_1_1]
,[oid_1_1_2_5_1_2]
,[oid_1_1_2_5_1_3]
,[oid_1_1_2_5_1_4]
)/4)
,(sum([oid_1_1_2_5_1_5]
,[oid_1_1_2_5_1_6]
,[oid_1_1_2_5_1_7]
,[oid_1_1_2_5_1_8]
)/4)
,(sum([oid_1_1_2_5_1_9]
,[oid_1_1_2_5_1_10]
,[oid_1_1_2_5_1_11]
)/3)
,(sum([oid_1_1_2_5_1_12]
,[oid_1_1_2_5_1_13]
,[oid_1_1_2_5_1_14]
)/3)
,(sum([oid_1_1_2_5_1_15]
,[oid_1_1_2_5_1_16]
,[oid_1_1_2_5_1_17]
)/3)
,(sum([oid_1_1_2_5_1_18]
,[oid_1_1_2_5_1_19]
,[oid_1_1_2_5_1_20]
,[oid_1_1_2_5_1_21]
,[oid_1_1_2_5_1_22]
,[oid_1_1_2_5_1_23]
,[oid_1_1_2_5_1_24]
,[oid_1_1_2_5_1_25]
,[oid_1_1_2_5_1_26]
,[oid_1_1_2_5_1_27]
,[oid_1_1_2_5_1_28]
,[oid_1_1_2_5_1_29]
)/12)
,(sum([oid_1_1_2_5_1_18]
,[oid_1_1_2_5_1_19]
,[oid_1_1_2_5_1_20]
,[oid_1_1_2_5_1_21]
,[oid_1_1_2_5_1_22]
,[oid_1_1_2_5_1_23]
,[oid_1_1_2_5_1_24]
,[oid_1_1_2_5_1_25]
,[oid_1_1_2_5_1_26]
,[oid_1_1_2_5_1_27]
,[oid_1_1_2_5_1_28]
,[oid_1_1_2_5_1_29]
)/12)
)/7";"Algorithmus zur Berechnung des ISR Scores";;;;;;;;;;;
oid_1_1_2_5_3_1;icd10symptomrating;;descriptive;"© World Health Organization";;;;;;;;;;;;;
